knot,time,mode,leg,active,z,vz,z_next,vz_next,fx,fy,fz,sum_fz,vertical_accel,dyn_z_residual,dyn_vz_residual,z_error,inactive_force_norm,knot_pass
5,0.22,trot_FL_RR,FR,0,0.26581585495963034,-2.011071427802971e-06,0.265816043445083,-2.3590825015781723e-06,0.0,0.0,-2.8825203490435663e-12,125.0130031486516,-1.739963535740685e-05,2.2870688119067188e-07,-1.836662706428585e-11,1.715600847662646e-06,2.8825203490435663e-12,True
5,0.22,trot_FL_RR,FL,1,0.26581585495963034,-2.011071427802971e-06,0.265816043445083,-2.3590825015781723e-06,0.0,0.0,62.50650157432869,125.0130031486516,-1.739963535740685e-05,2.2870688119067188e-07,-1.836662706428585e-11,1.715600847662646e-06,2.8825203490435663e-12,True
5,0.22,trot_FL_RR,RR,1,0.26581585495963034,-2.011071427802971e-06,0.265816043445083,-2.3590825015781723e-06,0.0,0.0,62.50650157432869,125.0130031486516,-1.739963535740685e-05,2.2870688119067188e-07,-1.836662706428585e-11,1.715600847662646e-06,2.8825203490435663e-12,True
5,0.22,trot_FL_RR,RL,0,0.26581585495963034,-2.011071427802971e-06,0.265816043445083,-2.3590825015781723e-06,0.0,0.0,-2.8825203490435663e-12,125.0130031486516,-1.739963535740685e-05,2.2870688119067188e-07,-1.836662706428585e-11,1.715600847662646e-06,2.8825203490435663e-12,True
6,0.24,trot_FL_RR,FR,0,0.265816043445083,-2.3590825015781723e-06,0.2658161841943405,1.4823768717665856e-08,0.0,0.0,4.0442363943805347e-10,125.01473582564147,0.0001185664697231914,1.8793090755828119e-07,2.576875832009819e-09,1.9040863002972586e-06,4.0442363943805347e-10,True
6,0.24,trot_FL_RR,FL,1,0.265816043445083,-2.3590825015781723e-06,0.2658161841943405,1.4823768717665856e-08,0.0,0.0,62.507367912416306,125.01473582564147,0.0001185664697231914,1.8793090755828119e-07,2.576875832009819e-09,1.9040863002972586e-06,4.0442363943805347e-10,True
6,0.24,trot_FL_RR,RR,1,0.265816043445083,-2.3590825015781723e-06,0.2658161841943405,1.4823768717665856e-08,0.0,0.0,62.507367912416306,125.01473582564147,0.0001185664697231914,1.8793090755828119e-07,2.576875832009819e-09,1.9040863002972586e-06,4.0442363943805347e-10,True
6,0.24,trot_FL_RR,RL,0,0.265816043445083,-2.3590825015781723e-06,0.2658161841943405,1.4823768717665856e-08,0.0,0.0,4.0442363943805347e-10,125.01473582564147,0.0001185664697231914,1.8793090755828119e-07,2.576875832009819e-09,1.9040863002972586e-06,4.0442363943805347e-10,True
7,0.26,trot_FL_RR,FR,0,0.2658161841943405,1.4823768717665856e-08,0.26581632863763,-2.8862374407565693e-06,0.0,0.0,-7.29324891473432e-10,125.01137936484307,-0.00014482070762333876,1.44146814121568e-07,-4.647057007459657e-09,2.0448355578239763e-06,7.29324891473432e-10,True
7,0.26,trot_FL_RR,FL,1,0.2658161841943405,1.4823768717665856e-08,0.26581632863763,-2.8862374407565693e-06,0.0,0.0,62.505689683150855,125.01137936484307,-0.00014482070762333876,1.44146814121568e-07,-4.647057007459657e-09,2.0448355578239763e-06,7.29324891473432e-10,True
7,0.26,trot_FL_RR,RR,1,0.2658161841943405,1.4823768717665856e-08,0.26581632863763,-2.8862374407565693e-06,0.0,0.0,62.505689683150855,125.01137936484307,-0.00014482070762333876,1.44146814121568e-07,-4.647057007459657e-09,2.0448355578239763e-06,7.29324891473432e-10,True
7,0.26,trot_FL_RR,RL,0,0.2658161841943405,1.4823768717665856e-08,0.26581632863763,-2.8862374407565693e-06,0.0,0.0,-7.29324891473432e-10,125.01137936484307,-0.00014482070762333876,1.44146814121568e-07,-4.647057007459657e-09,2.0448355578239763e-06,7.29324891473432e-10,True
8,0.28,trot_FL_RR,FR,0,0.26581632863763,-2.8862374407565693e-06,0.2658163680173327,1.3442989954757225e-06,0.0,0.0,1.0798562901059362e-09,125.01591607696021,0.00021118279449972022,9.710445153607444e-08,6.880546237887762e-09,2.1892788473198976e-06,1.0798562901059362e-09,True
8,0.28,trot_FL_RR,FL,1,0.26581632863763,-2.8862374407565693e-06,0.2658163680173327,1.3442989954757225e-06,0.0,0.0,62.50795803740025,125.01591607696021,0.00021118279449972022,9.710445153607444e-08,6.880546237887762e-09,2.1892788473198976e-06,1.0798562901059362e-09,True
8,0.28,trot_FL_RR,RR,1,0.26581632863763,-2.8862374407565693e-06,0.2658163680173327,1.3442989954757225e-06,0.0,0.0,62.50795803740025,125.01591607696021,0.00021118279449972022,9.710445153607444e-08,6.880546237887762e-09,2.1892788473198976e-06,1.0798562901059362e-09,True
8,0.28,trot_FL_RR,RL,0,0.26581632863763,-2.8862374407565693e-06,0.2658163680173327,1.3442989954757225e-06,0.0,0.0,1.0798562901059362e-09,125.01591607696021,0.00021118279449972022,9.710445153607444e-08,6.880546237887762e-09,2.1892788473198976e-06,1.0798562901059362e-09,True
9,0.3,trot_FL_RR,FR,0,0.2658163680173327,1.3442989954757225e-06,0.2658164444637862,-4.046215475862718e-05,0.0,0.0,-6.669118994664464e-10,124.98658966911273,-0.0020901102187771414,4.956047359128581e-08,-4.249378560074353e-09,2.2286585500408407e-06,6.669118994664464e-10,True
9,0.3,trot_FL_RR,FL,1,0.2658163680173327,1.3442989954757225e-06,0.2658164444637862,-4.046215475862718e-05,0.0,0.0,62.49329483522259,124.98658966911273,-0.0020901102187771414,4.956047359128581e-08,-4.249378560074353e-09,2.2286585500408407e-06,6.669118994664464e-10,True
9,0.3,trot_FL_RR,RR,1,0.2658163680173327,1.3442989954757225e-06,0.2658164444637862,-4.046215475862718e-05,0.0,0.0,62.49329483522396,124.98658966911273,-0.0020901102187771414,4.956047359128581e-08,-4.249378560074353e-09,2.2286585500408407e-06,6.669118994664464e-10,True
9,0.3,trot_FL_RR,RL,0,0.2658163680173327,1.3442989954757225e-06,0.2658164444637862,-4.046215475862718e-05,0.0,0.0,-6.669118994664464e-10,124.98658966911273,-0.0020901102187771414,4.956047359128581e-08,-4.249378560074353e-09,2.2286585500408407e-06,6.669118994664464e-10,True
