time,leg,phase,state,contact,swing_phase,foot_x,foot_y,foot_z,foothold_x,foothold_y,foothold_z
0.35000000000000003,FL,0.20000000000000018,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.35000000000000003,RR,0.20000000000000018,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.35000000000000003,RL,0.7000000000000001,swing,0,0.40000000000000013,-0.18141199999999996,0.12675,0.0766,-0.16909999999999997,0.12675,0.019
0.36,FR,0.72,swing,0,0.43999999999999995,0.19589820800000002,-0.12675,0.078136,0.2071,-0.12675,0.019
0.36,FL,0.21999999999999997,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.36,RR,0.21999999999999997,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.36,RL,0.72,swing,0,0.43999999999999995,-0.180301792,0.12675,0.078136,-0.16909999999999997,0.12675,0.019
0.37,FR,0.74,swing,0,0.48,0.197030304,-0.12675,0.078904,0.2071,-0.12675,0.019
0.37,FL,0.24,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.37,RR,0.24,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.37,RL,0.74,swing,0,0.48,-0.179169696,0.12675,0.078904,-0.16909999999999997,0.12675,0.019
0.38,FR,0.76,swing,0,0.52,0.198169696,-0.12675,0.07890399999999999,0.2071,-0.12675,0.019
0.38,FL,0.26,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.38,RR,0.26,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.38,RL,0.76,swing,0,0.52,-0.17803030399999997,0.12675,0.07890399999999999,-0.16909999999999997,0.12675,0.019
0.39,FR,0.78,swing,0,0.56,0.199301792,-0.12675,0.078136,0.2071,-0.12675,0.019
0.39,FL,0.28,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.39,RR,0.28,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.39,RL,0.78,swing,0,0.56,-0.176898208,0.12675,0.078136,-0.16909999999999997,0.12675,0.019
0.4,FR,0.8,swing,0,0.6000000000000001,0.200412,-0.12675,0.07659999999999999,0.2071,-0.12675,0.019
0.4,FL,0.30000000000000004,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.4,RR,0.30000000000000004,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.4,RL,0.8,swing,0,0.6000000000000001,-0.17578799999999997,0.12675,0.07659999999999999,-0.16909999999999997,0.12675,0.019
0.41000000000000003,FR,0.8200000000000001,swing,0,0.6400000000000001,0.201485728,-0.12675,0.07429599999999999,0.2071,-0.12675,0.019
0.41000000000000003,FL,0.32000000000000006,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.41000000000000003,RR,0.32000000000000006,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.41000000000000003,RL,0.8200000000000001,swing,0,0.6400000000000001,-0.17471427199999998,0.12675,0.07429599999999999,-0.16909999999999997,0.12675,0.019
0.42,FR,0.84,swing,0,0.6799999999999999,0.20250838399999999,-0.12675,0.07122400000000001,0.2071,-0.12675,0.019
0.42,FL,0.33999999999999986,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.42,RR,0.33999999999999986,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.42,RL,0.84,swing,0,0.6799999999999999,-0.173691616,0.12675,0.07122400000000001,-0.16909999999999997,0.12675,0.019
0.43,FR,0.86,swing,0,0.72,0.20346537599999998,-0.12675,0.067384,0.2071,-0.12675,0.019
0.43,FL,0.3599999999999999,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.43,RR,0.3599999999999999,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.43,RL,0.86,swing,0,0.72,-0.172734624,0.12675,0.067384,-0.16909999999999997,0.12675,0.019
0.44,FR,0.88,swing,0,0.76,0.20434211200000002,-0.12675,0.062776,0.2071,-0.12675,0.019
0.44,FL,0.3799999999999999,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.44,RR,0.3799999999999999,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.44,RL,0.88,swing,0,0.76,-0.171857888,0.12675,0.062776,-0.16909999999999997,0.12675,0.019
0.45,FR,0.9,swing,0,0.8,0.205124,-0.12675,0.05739999999999999,0.2071,-0.12675,0.019
0.45,FL,0.3999999999999999,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.45,RR,0.3999999999999999,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.45,RL,0.9,swing,0,0.8,-0.17107599999999998,0.12675,0.05739999999999999,-0.16909999999999997,0.12675,0.019
0.46,FR,0.92,swing,0,0.8400000000000001,0.20579644800000002,-0.12675,0.05125599999999998,0.2071,-0.12675,0.019
0.46,FL,0.41999999999999993,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.46,RR,0.41999999999999993,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.46,RL,0.92,swing,0,0.8400000000000001,-0.17040355199999999,0.12675,0.05125599999999998,-0.16909999999999997,0.12675,0.019
0.47000000000000003,FR,0.9400000000000001,swing,0,0.8800000000000001,0.20634486400000002,-0.12675,0.04434399999999998,0.2071,-0.12675,0.019
0.47000000000000003,FL,0.43999999999999995,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.47000000000000003,RR,0.43999999999999995,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.47000000000000003,RL,0.9400000000000001,swing,0,0.8800000000000001,-0.169855136,0.12675,0.04434399999999998,-0.16909999999999997,0.12675,0.019
0.48,FR,0.96,swing,0,0.9199999999999999,0.206754656,-0.12675,0.036664000000000016,0.2071,-0.12675,0.019
0.48,FL,0.45999999999999996,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.48,RR,0.45999999999999996,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.48,RL,0.96,swing,0,0.9199999999999999,-0.16944534399999997,0.12675,0.036664000000000016,-0.16909999999999997,0.12675,0.019
0.49,FR,0.98,swing,0,0.96,0.20701123200000002,-0.12675,0.028216000000000005,0.2071,-0.12675,0.019
0.49,FL,0.48,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.49,RR,0.48,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.49,RL,0.98,swing,0,0.96,-0.16918876799999996,0.12675,0.028216000000000005,-0.16909999999999997,0.12675,0.019
0.5,FR,0.0,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.5,FL,0.5,swing,0,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.5,RR,0.5,swing,0,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.5,RL,0.0,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
