stance_wbc_scale,swing_pd_scale,target_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_stance_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.75,0.75,0.45,1200,5,600,600,0.284805846483,0.089950191603,0.079189664916,0.461766370854,-0.194855654880,2.997570613363,0.032169154849,3.141426676978,-2.941426676978,0.518747920768,-0.318747920768,-0.140810335084,1.696758704104,1.542985425198,1.696758704104,12.551739981623,97.613674684316,97.613674684316,23.700000000000,71.024242505283,33.774297333941,1.142271208221e-05,4.121785123027e-07,2.309332476325e+01,0,161,False,False,False
0.75,0.75,0.6,1200,5,600,600,0.284805846483,0.089694995639,0.061062252570,0.462009024816,-0.195110850845,-2.937766000210,-0.109331904333,3.139697098766,-2.939697098766,0.412289884907,-0.212289884907,-0.158937747430,1.675695587509,1.675695587509,1.661490635818,13.818214475600,105.196742477630,105.196742477630,23.700000000000,68.733462516410,35.637827784743,4.694420896873e-06,4.227206216061e-07,2.536228958107e+01,0,331,False,False,False
0.75,1.0,0.35,1200,5,600,600,0.284805846483,0.234492755553,0.062121284237,0.461584828341,-0.050313090930,1.871845489685,0.048799019466,3.138907927135,-2.938907927135,0.608231205590,-0.408231205590,-0.157878715763,2.560325322849,1.572021329622,2.560325322849,12.330898416970,126.859543844217,126.859543844217,23.700000000000,69.025375193470,34.125336658378,5.934195435432e-06,4.713825104959e-07,4.201939956609e+01,0,174,False,False,False
0.75,1.0,0.45,1200,5,600,600,0.284805846483,0.089056030752,0.065896283120,0.462823590291,-0.195749815731,3.098201176477,0.014951109004,3.141587380204,-2.941587380204,0.470206644884,-0.270206644884,-0.154103716880,1.583176684476,1.580041966606,1.583176684476,12.300670157699,128.034231691273,128.034231691273,23.700000000000,71.430359726750,34.607194430926,3.885657167209e-05,5.688509853585e-07,2.451507223924e+01,0,157,False,False,False
0.75,1.0,0.6,1200,5,600,600,0.284805846483,0.083711497188,0.058483023569,0.463359018828,-0.201094349296,2.990181607882,0.063460931815,3.141458829027,-2.941458829027,0.445961723002,-0.245961723002,-0.161516976431,1.580973625427,1.569092310637,1.580973625427,10.582902576888,132.912565163584,132.912565163584,23.700000000000,65.172679776290,32.732334283248,5.366715783943e-06,3.140542085445e-07,2.053667362752e+01,0,211,False,False,False
1.0,0.5,0.35,1200,5,600,600,0.284805846483,0.089842224504,0.055572354868,0.451755488531,-0.194963621979,3.041962343111,0.023908735332,3.141406357250,-2.941406357250,0.179103558567,0.020896441433,-0.164427645132,1.919295924572,1.919295924572,1.869064260451,17.228917870611,85.915199470022,85.915199470022,23.700000000000,66.023932303368,37.950593191694,2.372417632994e-05,5.251364561268e-07,1.850527408832e+01,0,170,False,False,False
1.0,0.5,0.45,1200,5,600,600,0.284805846483,0.109945463091,0.061690156411,0.452327769151,-0.174860383392,2.612122850171,0.043257586365,3.140445038466,-2.940445038466,0.305352116306,-0.105352116306,-0.158309843589,1.570688675198,1.544071903584,1.570688675198,18.789492726221,60.100609057385,60.100609057385,23.700000000000,60.976656504090,32.146241574159,6.065015093746e-06,4.677033069477e-07,1.784516273342e+01,0,110,False,False,False
1.0,0.5,0.6,1200,5,600,600,0.284805846483,0.091677575733,0.056976983962,0.452306063235,-0.193128270750,-2.969348174949,-0.119376372724,3.140164369496,-2.940164369496,0.462586195518,-0.262586195518,-0.163023016038,2.074586795760,2.019887329692,2.074586795760,18.338348832783,84.129272782554,84.129272782554,23.700000000000,73.500195587206,39.216546292707,6.796006330385e-06,2.943919223311e-07,1.567808746771e+01,0,163,False,False,False
1.0,0.75,0.35,1200,5,600,600,0.284805846483,0.085383223014,0.060143904029,0.450720208001,-0.199422623470,-2.976324282676,-0.074168063216,3.141523330253,-2.941523330253,0.287960907918,-0.087960907918,-0.159856095971,1.879568082560,1.879568082560,1.846671475619,20.465990753171,119.936791389922,119.936791389922,23.700000000000,76.909121311282,42.382520285598,2.969708959738e-05,6.984208779823e-07,1.497890948218e+01,0,207,False,False,False
1.0,0.75,0.45,1200,5,600,600,0.284805846483,0.255474725818,0.072703751597,0.450544556285,-0.029331120666,2.234829824520,-0.105405125285,3.139749268502,-2.939749268502,0.258253294844,-0.058253294844,-0.147296248403,2.154417532337,1.907876427822,2.154417532337,17.910218078019,119.406097516732,119.406097516732,23.700000000000,69.781178950356,37.088086745702,1.343364246527e-05,2.878439646885e-07,1.783398742339e+01,0,280,False,False,False
