step,source_step,contact_mode,qp_status,tracking_error_inf,tau_abs_max,max_friction_violation,max_swing_force_norm,FR_f_ref_x,FR_f_qp_x,FR_f_ref_y,FR_f_qp_y,FR_f_ref_z,FR_f_qp_z,FL_f_ref_x,FL_f_qp_x,FL_f_ref_y,FL_f_qp_y,FL_f_ref_z,FL_f_qp_z,RR_f_ref_x,RR_f_qp_x,RR_f_ref_y,RR_f_qp_y,RR_f_ref_z,RR_f_qp_z,RL_f_ref_x,RL_f_qp_x,RL_f_ref_y,RL_f_qp_y,RL_f_ref_z,RL_f_qp_z,FR_stance,FL_stance,RR_stance,RL_stance
33,33,FL_RR,solved,3.15440568644e-11,10.2891291899,0,8.29339114401e-39,-1.13586949481e-20,2.9863871153e-48,0,0,-3.15440568644e-11,8.29339114401e-39,1.16000172473e-07,1.16000172473e-07,0,0,61.6674471139,61.6674471139,1.16000365093e-07,1.16000365093e-07,0,0,61.6674471139,61.6674471139,-1.13586949481e-20,2.9863871153e-48,0,0,-3.15440568615e-11,8.29339114401e-39,False,True,True,False
34,34,FL_RR,solved,1.04434061918e-10,10.0070207421,0,2.90249528598e-38,-3.82614952344e-20,1.06345589207e-47,0,0,-1.04434061918e-10,2.90249528598e-38,-2.90305345746e-08,-2.90305345746e-08,0,0,59.9766425466,59.9766425466,-2.90305337504e-08,-2.90305337504e-08,0,0,59.9766425466,59.9766425466,-3.82614952344e-20,1.06345589207e-47,0,0,-1.04434061918e-10,2.90249528598e-38,False,True,True,False
35,35,FL_RR,solved,7.2988614935e-11,10.0065139354,0,2.02902170716e-38,-9.92468428846e-20,2.7584783037e-47,0,0,-7.2988614935e-11,2.02902170716e-38,-2.87794092181e-08,-2.87794092181e-08,0,0,59.9736050231,59.9736050231,-2.87793704446e-08,-2.87793704446e-08,0,0,59.9736050231,59.9736050231,-9.92468428846e-20,2.7584783037e-47,0,0,-7.29886149275e-11,2.02902170716e-38,False,True,True,False
36,36,FL_RR,solved,1.38742109554e-11,10.2913393476,0,3.64578821118e-39,-2.22343294657e-20,5.8426877591e-48,0,0,-1.38742109553e-11,3.64578821118e-39,-9.80384458339e-09,-9.80384458339e-09,0,0,61.680693698,61.680693698,-9.80380076193e-09,-9.80380076193e-09,0,0,61.680693698,61.680693698,-2.22343294657e-20,5.8426877591e-48,0,0,-1.38742109554e-11,3.64578821118e-39,False,True,True,False
37,37,FL_RR,solved,1.87630794341e-09,10.6626928503,0,4.59314567016e-37,3.85998733092e-19,-9.45015852498e-47,0,0,-1.87630794341e-09,4.59314567016e-37,-8.78090463542e-10,-8.78090463542e-10,0,0,63.9063847187,63.9063847187,-8.78021626132e-10,-8.78021626132e-10,0,0,63.9063847187,63.9063847187,3.85998729912e-19,-9.45015852498e-47,0,0,-1.87630794341e-09,4.59314567016e-37,False,True,True,False
38,38,FL_RR,solved,1.71296244237e-09,10.384156237,0,4.42144580247e-37,2.89777616184e-21,-7.47982916627e-49,0,0,-1.71296244236e-09,4.42144580247e-37,8.75668570467e-10,8.75668570467e-10,0,0,62.2369876693,62.2369876693,8.7565497909e-10,8.7565497909e-10,0,0,62.2369876693,62.2369876693,2.89232796069e-21,-7.46566640076e-49,0,0,-1.71296244237e-09,4.42144580247e-37,False,True,True,False
39,39,FL_RR,solved,1.74140962203e-14,7.70886296739,0,8.15470982247e-42,-4.9162776333e-17,2.30250315691e-44,0,0,1.74140962203e-14,-8.15467731652e-42,-2.44291618604e-06,-2.44291618604e-06,0,0,46.2027360366,46.2027360366,-2.44291619245e-06,-2.44291619245e-06,0,0,46.2027360366,46.2027360366,-4.9162776333e-17,2.30250315691e-44,0,0,1.74140962203e-14,-8.15467731652e-42,False,True,True,False
40,40,FR_RL,solved,7.72179986901e-14,7.71129550887,0,3.61358620923e-41,2.89837883599e-07,2.89837883599e-07,0,0,46.2173131993,46.2173131993,-4.28112565567e-17,2.003121052e-44,0,0,7.72179986901e-14,-3.61358565403e-41,-4.28112565567e-17,2.003121052e-44,0,0,7.72179986901e-14,-3.61358565403e-41,2.89837883599e-07,2.89837883599e-07,0,0,46.2173131993,46.2173131993,True,False,False,True
41,41,FR_RL,solved,1.12076358431e-09,10.3435637115,0,2.91507111293e-37,1.45542460564e-06,1.45542460564e-06,0,0,61.993696983,61.993696983,2.05967380011e-19,-5.35852293271e-47,0,0,-1.12076358428e-09,2.91507111293e-37,2.05967380011e-19,-5.35852293271e-47,0,0,-1.12076358431e-09,2.91507111293e-37,1.45542460739e-06,1.45542460739e-06,0,0,61.993696983,61.993696983,True,False,False,True
42,42,FR_RL,solved,5.51824797629e-10,10.6503698495,0,1.35408019917e-37,6.48848887276e-07,6.48848887276e-07,0,0,63.8325268348,63.8325268348,-2.78897962722e-20,6.84335049946e-48,0,0,-5.51824797629e-10,1.35408019917e-37,-2.78897962722e-20,6.84335049946e-48,0,0,-5.51824797625e-10,1.35408019917e-37,6.48848865711e-07,6.48848865711e-07,0,0,63.8325268348,63.8325268348,True,False,False,True
43,43,FR_RL,solved,3.15543250367e-11,10.3015593916,0,8.27521420098e-39,1.16845640299e-07,1.16845640299e-07,0,0,61.7419469851,61.7419469851,6.93791173504e-20,-1.81974677944e-47,0,0,-3.15543250326e-11,8.27521420098e-39,6.93791173504e-20,-1.81974677944e-47,0,0,-3.15543250367e-11,8.27521420098e-39,1.16845639159e-07,1.16845639159e-07,0,0,61.7419469851,61.7419469851,True,False,False,True
44,44,FR_RL,solved,1.22283276985e-10,10.0169785892,0,3.39128777348e-38,-2.92431267708e-08,-2.92431267708e-08,0,0,60.0363244695,60.0363244695,-1.30520072551e-19,3.62067712567e-47,0,0,-1.22283276984e-10,3.39128777348e-38,-1.30520072551e-19,3.62067712567e-47,0,0,-1.22283276985e-10,3.39128773845e-38,-2.92432391358e-08,-2.92432391358e-08,0,0,60.0363244695,60.0363244695,True,False,False,True
